# x,p
-8.805.,-8.805.
-9.771.,-0.977.
-1.749.,-0.175.
3.432.,0.343.
3.781.,0.378.
5.228.,0.523.
3.510.,0.523.
9.435.,0.944.
-8.608.,0.139.
4.655.,0.465.
7.025.,0.702.
1.588.,0.702.
-8.097.,0.190.
6.705.,0.670.
8.691.,0.869.
5.548.,0.869.
-8.528.,0.147.
3.311.,0.331.
5.389.,0.539.
0.406.,0.539.
-5.983.,0.402.
-3.426.,0.402.
2.537.,0.402.
4.634.,0.463.
-7.969.,0.203.
7.687.,0.769.
-2.034.,0.769.
8.354.,0.835.
-3.561.,0.644.
-5.581.,0.442.
6.116.,0.612.
6.692.,0.669.
4.427.,0.669.
2.682.,0.669.
-5.782.,0.422.
-1.318.,0.422.
-6.083.,0.392.
-9.187.,0.081.
-4.759.,0.081.
-0.597.,0.081.
3.306.,0.331.
9.832.,0.983.
4.047.,0.983.
-1.796.,0.820.
-2.101.,0.790.
-0.013.,0.790.
3.606.,0.790.
-1.747.,0.790.
1.356.,0.790.
-9.189.,0.081.
1.668.,0.167.
-8.478.,0.152.
-0.936.,0.152.
-0.542.,0.152.
6.717.,0.672.
-2.662.,0.672.
8.498.,0.850.
3.791.,0.850.
2.937.,0.850.
-5.110.,0.489.
3.257.,0.489.
4.143.,0.489.
3.896.,0.489.
-7.760.,0.224.
7.156.,0.716.
-2.152.,0.716.
-9.935.,0.006.
-1.397.,0.006.
-4.208.,0.006.
6.436.,0.644.
9.327.,0.933.
-4.922.,0.508.
2.025.,0.508.
-8.447.,0.155.
4.204.,0.420.
-3.970.,0.420.
-1.293.,0.420.
1.887.,0.420.
-9.237.,0.076.
8.835.,0.884.
0.198.,0.884.
-3.773.,0.623.
-3.567.,0.623.
-9.944.,0.006.
-4.680.,0.006.
-5.571.,0.006.
3.289.,0.329.
4.884.,0.488.
-9.154.,0.085.
-9.939.,0.006.
-0.592.,0.006.
4.214.,0.421.
9.528.,0.953.
-0.382.,0.953.
-4.200.,0.580.
2.417.,0.580.
6.783.,0.678.
6.946.,0.695.
-0.981.,0.695.
1.489.,0.695.
-7.316.,0.268.
-3.485.,0.268.
-4.466.,0.268.
-3.771.,0.268.
5.261.,0.526.
-4.828.,0.517.
9.121.,0.912.
-3.369.,0.663.
4.430.,0.663.
-1.742.,0.663.
