# x,p
-0.000,0.000
-0.063,0.000
-0.127,0.000
-0.189,0.000
-0.251,0.000
-0.312,0.000
-0.372,-0.115
-0.430,-0.289
-0.486,-0.459
-0.541,-0.622
-0.593,-0.779
-0.643,-0.928
-0.690,-1.070
-0.735,-1.204
-0.776,-1.328
-0.815,-1.444
-0.850,-1.549
-0.881,-1.644
-0.910,-1.729
-0.934,-1.802
-0.955,-1.865
-0.972,-1.915
-0.985,-1.954
-0.994,-1.982
-0.999,-1.997
-1.000,-2.000
-0.997,-2.000
-0.990,-2.000
-0.979,-2.000
-0.964,-2.000
-0.945,-2.000
-0.922,-2.000
-0.896,-2.000
-0.866,-2.000
-0.833,-2.000
-0.796,-2.000
-0.756,-2.000
-0.713,-2.000
-0.667,-2.000
-0.618,-1.854
-0.567,-1.701
-0.514,-1.541
-0.458,-1.375
-0.401,-1.203
-0.342,-1.026
-0.282,-0.845
-0.220,-0.661
-0.158,-0.474
-0.095,-0.285
-0.032,-0.095
0.032,0.095
0.095,0.285
0.158,0.474
0.220,0.661
0.282,0.845
0.342,1.026
0.401,1.203
0.458,1.375
0.514,1.541
0.567,1.701
0.618,1.854
0.667,2.000
0.713,2.138
0.756,2.267
0.796,2.387
0.833,2.498
0.866,2.598
0.896,2.688
0.922,2.767
0.945,2.835
0.964,2.892
0.979,2.936
0.990,2.969
0.997,2.991
1.000,3.000
0.999,3.000
0.994,3.000
0.985,3.000
0.972,3.000
0.955,3.000
0.934,3.000
0.910,3.000
0.881,3.000
0.850,3.000
0.815,3.000
0.776,3.000
0.735,3.000
0.690,3.000
0.643,2.928
0.593,2.779
0.541,2.622
0.486,2.459
0.430,2.289
0.372,2.115
0.312,1.936
0.251,1.753
0.189,1.568
0.127,1.380
0.063,1.190
0.000,1.000
-0.000,1.000
-0.190,0.429
-0.380,-0.139
-0.568,-0.703
-0.753,-1.260
-0.936,-1.808
-1.115,-2.345
-1.289,-2.868
-1.459,-3.376
-1.622,-3.866
-1.779,-4.336
-1.928,-4.785
-2.070,-5.211
-2.204,-5.611
-2.328,-5.985
-2.444,-6.331
-2.549,-6.648
-2.644,-6.933
-2.729,-7.187
-2.802,-7.407
-2.865,-7.594
-2.915,-7.746
-2.954,-7.863
-2.982,-7.945
-2.997,-7.990
-3.000,-7.999
-2.991,-7.999
-2.969,-7.999
-2.936,-7.999
-2.892,-7.999
-2.835,-7.999
-2.767,-7.999
-2.688,-7.999
-2.598,-7.794
-2.498,-7.493
-2.387,-7.162
-2.267,-6.802
-2.138,-6.414
-2.000,-6.001
-1.854,-5.563
-1.701,-5.104
-1.541,-4.623
-1.375,-4.124
-1.203,-3.608
-1.026,-3.078
-0.845,-2.536
-0.661,-1.983
-0.474,-1.422
-0.285,-0.856
-0.095,-0.286
0.095,0.286
0.285,0.856
0.474,1.422
0.661,1.983
0.845,2.536
1.026,3.078
1.203,3.608
1.375,4.124
1.541,4.623
1.701,5.104
1.854,5.563
2.000,6.001
2.138,6.414
2.267,6.802
2.387,7.162
2.498,7.493
2.598,7.794
2.688,8.064
2.767,8.301
2.835,8.505
2.892,8.675
2.936,8.809
2.969,8.908
2.991,8.972
3.000,8.999
2.997,8.999
2.982,8.999
2.954,8.999
2.915,8.999
2.865,8.999
2.802,8.999
2.729,8.999
2.644,8.933
2.549,8.648
2.444,8.331
2.328,7.985
2.204,7.611
2.070,7.211
1.928,6.785
1.779,6.336
1.622,5.866
1.459,5.376
1.289,4.868
1.115,4.345
0.936,3.808
0.753,3.260
0.568,2.703
0.380,2.139
0.190,1.571
0.000,1.000
-0.000,1.000
-0.076,0.772
-0.152,0.544
-0.227,0.319
-0.301,0.096
-0.374,-0.123
-0.446,-0.338
-0.516,-0.547
-0.583,-0.750
-0.649,-0.946
-0.711,-1.134
-0.771,-1.314
-0.828,-1.484
-0.882,-1.645
-0.931,-1.794
-0.977,-1.932
-1.020,-2.059
-1.058,-2.173
-1.092,-2.275
-1.121,-2.363
-1.146,-2.438
-1.166,-2.499
-1.182,-2.545
-1.193,-2.578
-1.199,-2.596
-1.200,-2.600
-1.196,-2.600
-1.188,-2.600
-1.175,-2.600
-1.157,-2.600
-1.134,-2.600
-1.107,-2.600
-1.075,-2.600
-1.039,-2.600
-0.999,-2.600
-0.955,-2.600
-0.907,-2.600
-0.855,-2.566
-0.800,-2.400
-0.742,-2.225
-0.680,-2.041
-0.616,-1.849
-0.550,-1.650
-0.481,-1.443
-0.410,-1.231
-0.338,-1.014
-0.264,-0.793
-0.190,-0.569
-0.114,-0.342
-0.038,-0.114
0.038,0.114
0.114,0.342
0.190,0.569
0.264,0.793
0.338,1.014
0.410,1.231
0.481,1.443
0.550,1.650
0.616,1.849
0.680,2.041
0.742,2.225
0.800,2.400
0.855,2.566
0.907,2.721
0.955,2.865
0.999,2.997
1.039,3.118
1.075,3.226
1.107,3.320
1.134,3.402
1.157,3.470
1.175,3.524
1.188,3.563
1.196,3.589
1.200,3.600
1.199,3.600
1.193,3.600
1.182,3.600
1.166,3.600
1.146,3.600
1.121,3.600
1.092,3.600
1.058,3.600
1.020,3.600
0.977,3.600
0.931,3.600
0.882,3.600
0.828,3.484
0.771,3.314
0.711,3.134
0.649,2.946
0.583,2.750
0.516,2.547
0.446,2.338
0.374,2.123
0.301,1.904
0.227,1.681
0.152,1.456
0.076,1.228
0.000,1.000
