# x,p
-0.586.,-0.586.
-5.062.,-0.506.
8.100.,0.810.
8.012.,0.810.
2.809.,0.810.
-6.570.,0.810.
-1.807.,0.810.
4.479.,0.810.
3.441.,0.810.
-2.485.,0.810.
4.962.,0.810.
-7.009.,0.810.
0.141.,0.810.
8.660.,0.866.
2.905.,0.866.
-2.730.,0.866.
8.400.,0.866.
-4.532.,0.866.
-2.881.,0.866.
9.374.,0.937.
2.022.,0.937.
2.115.,0.937.
5.288.,0.937.
9.203.,0.937.
5.450.,0.937.
-4.977.,0.937.
6.958.,0.937.
2.749.,0.937.
2.553.,0.937.
-6.660.,0.937.
-2.952.,0.937.
5.049.,0.937.
-3.165.,0.937.
9.058.,0.937.
-1.149.,0.937.
-9.732.,0.937.
-3.275.,0.937.
-3.121.,0.937.
5.100.,0.937.
-8.362.,0.937.
-1.619.,0.937.
-3.343.,0.937.
-0.652.,0.937.
-1.172.,0.937.
7.877.,0.937.
-9.327.,0.937.
5.894.,0.937.
7.202.,0.937.
-4.630.,0.937.
8.484.,0.937.
-3.764.,0.937.
-3.155.,0.937.
-3.301.,0.937.
-2.675.,0.937.
6.871.,0.937.
1.648.,0.937.
-4.210.,0.937.
8.448.,0.937.
-0.715.,0.937.
9.192.,0.937.
7.673.,0.937.
8.983.,0.937.
3.331.,0.937.
2.812.,0.937.
7.626.,0.937.
4.951.,0.937.
-6.705.,0.937.
-3.888.,0.937.
7.663.,0.937.
-2.510.,0.937.
8.306.,0.937.
1.497.,0.937.
-0.329.,0.937.
6.215.,0.937.
-8.466.,0.937.
-8.573.,0.937.
-8.663.,0.937.
5.061.,0.937.
6.411.,0.937.
9.653.,0.965.
4.407.,0.965.
-9.236.,0.965.
0.407.,0.965.
5.070.,0.965.
9.580.,0.965.
-5.863.,0.965.
3.001.,0.965.
1.702.,0.965.
4.655.,0.965.
-5.471.,0.965.
5.075.,0.965.
-2.707.,0.965.
-7.742.,0.965.
6.155.,0.965.
-1.085.,0.965.
1.212.,0.965.
-9.001.,0.965.
3.693.,0.965.
0.091.,0.965.
-8.272.,0.965.
0.606.,0.965.
2.169.,0.965.
5.161.,0.965.
-9.325.,0.965.
7.415.,0.965.
5.474.,0.965.
-1.711.,0.965.
9.985.,0.999.
-2.668.,0.999.
-9.803.,0.999.
9.189.,0.999.
6.627.,0.999.
-3.273.,0.999.
-3.945.,0.999.
-1.043.,0.999.
-8.399.,0.999.
3.137.,0.999.
1.866.,0.999.
-4.104.,0.999.
-1.699.,0.999.
-0.620.,0.999.
3.134.,0.999.
-0.292.,0.999.
7.091.,0.999.
-9.353.,0.999.
-7.648.,0.999.
0.344.,0.999.
-2.363.,0.999.
1.788.,0.999.
-3.422.,0.999.
-3.947.,0.999.
-1.435.,0.999.
-8.766.,0.999.
4.855.,0.999.
-5.863.,0.999.
-8.030.,0.999.
-1.335.,0.999.
-6.808.,0.999.
5.220.,0.999.
-0.840.,0.999.
2.958.,0.999.
-4.071.,0.999.
2.487.,0.999.
5.262.,0.999.
0.553.,0.999.
-0.854.,0.999.
-3.336.,0.999.
7.542.,0.999.
-3.492.,0.999.
-9.525.,0.999.
4.975.,0.999.
5.772.,0.999.
-0.368.,0.999.
-0.662.,0.999.
-1.714.,0.999.
3.115.,0.999.
-2.858.,0.999.
7.744.,0.999.
0.638.,0.999.
1.220.,0.999.
-7.249.,0.999.
-5.230.,0.999.
6.407.,0.999.
0.919.,0.999.
1.783.,0.999.
0.727.,0.999.
-8.349.,0.999.
-7.396.,0.999.
0.244.,0.999.
4.113.,0.999.
2.321.,0.999.
-1.734.,0.999.
-6.904.,0.999.
3.911.,0.999.
0.475.,0.999.
-8.204.,0.999.
-7.648.,0.999.
-9.917.,0.999.
-9.742.,0.999.
6.017.,0.999.
-4.669.,0.999.
-9.378.,0.999.
-7.716.,0.999.
-5.899.,0.999.
-2.532.,0.999.
-8.167.,0.999.
1.339.,0.999.
-9.313.,0.999.
3.723.,0.999.
-0.854.,0.999.
-1.319.,0.999.
3.752.,0.999.
7.745.,0.999.
1.887.,0.999.
-2.680.,0.999.
-0.076.,0.999.
-2.736.,0.999.
5.648.,0.999.
-8.177.,0.999.
-9.268.,0.999.
-0.773.,0.999.
-0.969.,0.999.
0.598.,0.999.
-6.146.,0.999.
0.358.,0.999.
9.615.,0.999.
-5.825.,0.999.
-0.359.,0.999.
-6.332.,0.999.
2.189.,0.999.
-0.492.,0.999.
7.455.,0.999.
-7.039.,0.999.
7.847.,0.999.
-5.573.,0.999.
-0.130.,0.999.
-5.196.,0.999.
7.399.,0.999.
4.004.,0.999.
8.485.,0.999.
5.566.,0.999.
0.060.,0.999.
6.906.,0.999.
5.903.,0.999.
-2.719.,0.999.
-7.756.,0.999.
0.045.,0.999.
-6.971.,0.999.
5.589.,0.999.
-9.954.,0.999.
-2.739.,0.999.
-6.792.,0.999.
-7.910.,0.999.
-4.334.,0.999.
-6.008.,0.999.
-7.637.,0.999.
-7.287.,0.999.
-4.898.,0.999.
-2.750.,0.999.
-8.221.,0.999.
2.567.,0.999.
1.889.,0.999.
-0.657.,0.999.
5.268.,0.999.
6.212.,0.999.
-9.202.,0.999.
-4.057.,0.999.
6.218.,0.999.
-6.331.,0.999.
6.639.,0.999.
4.345.,0.999.
-5.024.,0.999.
3.031.,0.999.
4.708.,0.999.
4.031.,0.999.
-8.776.,0.999.
-4.724.,0.999.
-0.743.,0.999.
-4.323.,0.999.
0.488.,0.999.
-0.074.,0.999.
-2.895.,0.999.
6.806.,0.999.
-2.534.,0.999.
4.024.,0.999.
9.030.,0.999.
-6.822.,0.999.
-0.691.,0.999.
-3.971.,0.999.
-6.548.,0.999.
-0.710.,0.999.
0.187.,0.999.
1.383.,0.999.
3.007.,0.999.
-2.795.,0.999.
0.722.,0.999.
-7.894.,0.999.
-7.011.,0.999.
-7.206.,0.999.
-3.869.,0.999.
5.635.,0.999.
-0.001.,0.999.
-7.015.,0.999.
2.107.,0.999.
7.582.,0.999.
0.936.,0.999.
-2.258.,0.999.
2.502.,0.999.
3.249.,0.999.
-0.064.,0.999.
-3.740.,0.999.
-9.079.,0.999.
5.848.,0.999.
-2.424.,0.999.
-0.906.,0.999.
6.696.,0.999.
-5.295.,0.999.
-4.209.,0.999.
1.920.,0.999.
7.169.,0.999.
-9.481.,0.999.
3.942.,0.999.
-3.376.,0.999.
-6.101.,0.999.
-3.050.,0.999.
2.273.,0.999.
8.796.,0.999.
0.057.,0.999.
-6.866.,0.999.
-4.498.,0.999.
2.129.,0.999.
3.193.,0.999.
1.398.,0.999.
5.900.,0.999.
-1.992.,0.999.
7.596.,0.999.
0.365.,0.999.
-7.267.,0.999.
-6.256.,0.999.
8.701.,0.999.
9.792.,0.999.
9.206.,0.999.
-0.220.,0.999.
6.840.,0.999.
7.949.,0.999.
4.830.,0.999.
-0.764.,0.999.
9.731.,0.999.
1.971.,0.999.
-2.583.,0.999.
4.679.,0.999.
4.845.,0.999.
-6.043.,0.999.
4.796.,0.999.
9.628.,0.999.
4.753.,0.999.
-9.115.,0.999.
-7.125.,0.999.
7.687.,0.999.
8.851.,0.999.
-5.832.,0.999.
4.697.,0.999.
-6.684.,0.999.
-3.272.,0.999.
-3.816.,0.999.
-2.688.,0.999.
-1.401.,0.999.
-6.269.,0.999.
-8.000.,0.999.
1.209.,0.999.
8.412.,0.999.
-4.262.,0.999.
-0.321.,0.999.
5.234.,0.999.
4.295.,0.999.
-6.971.,0.999.
-8.210.,0.999.
-7.500.,0.999.
1.147.,0.999.
9.982.,0.999.
-0.323.,0.999.
7.408.,0.999.
4.712.,0.999.
0.505.,0.999.
4.711.,0.999.
-6.559.,0.999.
-6.643.,0.999.
-9.670.,0.999.
-4.384.,0.999.
2.781.,0.999.
1.204.,0.999.
-1.494.,0.999.
7.386.,0.999.
5.991.,0.999.
-8.160.,0.999.
-6.566.,0.999.
-6.690.,0.999.
0.774.,0.999.
-8.952.,0.999.
8.915.,0.999.
2.197.,0.999.
5.232.,0.999.
-7.690.,0.999.
-8.086.,0.999.
-9.343.,0.999.
7.091.,0.999.
9.827.,0.999.
-0.520.,0.999.
2.320.,0.999.
3.632.,0.999.
-0.428.,0.999.
-3.016.,0.999.
7.007.,0.999.
1.969.,0.999.
-2.087.,0.999.
7.307.,0.999.
-3.144.,0.999.
-4.823.,0.999.
-8.449.,0.999.
4.469.,0.999.
-9.896.,0.999.
0.477.,0.999.
-9.252.,0.999.
9.804.,0.999.
6.832.,0.999.
-5.062.,0.999.
-6.687.,0.999.
-9.394.,0.999.
-4.861.,0.999.
7.822.,0.999.
-8.097.,0.999.
-5.280.,0.999.
-0.402.,0.999.
-6.002.,0.999.
2.744.,0.999.
-0.121.,0.999.
-9.027.,0.999.
-0.672.,0.999.
-9.216.,0.999.
-5.810.,0.999.
2.507.,0.999.
-8.252.,0.999.
-0.212.,0.999.
9.590.,0.999.
9.269.,0.999.
7.605.,0.999.
-6.913.,0.999.
5.271.,0.999.
-0.758.,0.999.
6.202.,0.999.
-8.602.,0.999.
-5.461.,0.999.
5.330.,0.999.
-2.308.,0.999.
-7.093.,0.999.
-2.715.,0.999.
6.045.,0.999.
3.960.,0.999.
-7.328.,0.999.
0.801.,0.999.
-1.844.,0.999.
-4.544.,0.999.
-7.892.,0.999.
-1.264.,0.999.
-9.508.,0.999.
3.673.,0.999.
9.855.,0.999.
-4.756.,0.999.
5.577.,0.999.
0.910.,0.999.
-1.375.,0.999.
8.262.,0.999.
-1.631.,0.999.
-2.962.,0.999.
-8.861.,0.999.
-4.348.,0.999.
8.412.,0.999.
-6.383.,0.999.
8.742.,0.999.
3.151.,0.999.
-4.048.,0.999.
3.888.,0.999.
-1.662.,0.999.
-1.946.,0.999.
7.473.,0.999.
2.424.,0.999.
8.163.,0.999.
-4.055.,0.999.
4.458.,0.999.
1.124.,0.999.
7.079.,0.999.
-5.291.,0.999.
9.143.,0.999.
1.508.,0.999.
-1.172.,0.999.
-8.048.,0.999.
9.787.,0.999.
3.064.,0.999.
-9.735.,0.999.
