# x,p
8.192.,8.192.
-6.718.,2.328.
-8.184.,2.182.
4.155.,2.182.
-3.708.,2.182.
-7.603.,2.182.
0.405.,2.182.
3.877.,2.182.
0.231.,2.182.
7.919.,2.182.
3.860.,2.182.
9.459.,2.182.
-5.604.,2.182.
9.621.,2.182.
-2.211.,2.182.
-8.594.,2.141.
-9.466.,2.053.
1.775.,2.053.
-1.636.,2.053.
-4.967.,2.053.
7.494.,2.053.
-9.175.,2.053.
2.978.,2.053.
1.476.,2.053.
4.615.,2.053.
2.029.,2.053.
-1.768.,2.053.
1.037.,2.053.
4.859.,2.053.
-0.274.,2.053.
-8.507.,2.053.
8.613.,2.053.
-5.567.,2.053.
-9.349.,2.053.
-1.450.,2.053.
2.547.,2.053.
6.301.,2.053.
6.226.,2.053.
-6.381.,2.053.
-6.103.,2.053.
0.134.,2.053.
7.637.,2.053.
4.363.,2.053.
0.156.,2.053.
3.307.,2.053.
5.569.,2.053.
6.465.,2.053.
9.029.,2.053.
6.509.,2.053.
-7.411.,2.053.
9.208.,2.053.
2.465.,2.053.
-9.888.,2.011.
9.202.,2.011.
-9.108.,2.011.
-8.767.,2.011.
8.820.,2.011.
2.619.,2.011.
-7.938.,2.011.
-4.211.,2.011.
-7.841.,2.011.
-7.904.,2.011.
7.376.,2.011.
-5.437.,2.011.
9.871.,2.011.
-1.056.,2.011.
-2.174.,2.011.
-9.391.,2.011.
-9.515.,2.011.
3.213.,2.011.
3.728.,2.011.
-5.368.,2.011.
-8.357.,2.011.
-9.392.,2.011.
-1.480.,2.011.
-1.390.,2.011.
-4.333.,2.011.
-1.648.,2.011.
7.974.,2.011.
2.611.,2.011.
0.901.,2.011.
9.645.,2.011.
4.332.,2.011.
7.630.,2.011.
5.499.,2.011.
-7.098.,2.011.
-1.740.,2.011.
-4.675.,2.011.
-1.139.,2.011.
-8.148.,2.011.
-2.660.,2.011.
-8.864.,2.011.
-1.541.,2.011.
-8.187.,2.011.
8.831.,2.011.
-4.236.,2.011.
-2.967.,2.011.
-8.796.,2.011.
-6.941.,2.011.
-3.979.,2.011.
-5.096.,2.011.
4.453.,2.011.
-0.746.,2.011.
-6.999.,2.011.
7.304.,2.011.
-0.279.,2.011.
2.510.,2.011.
2.527.,2.011.
-8.848.,2.011.
-6.319.,2.011.
-9.947.,2.005.
-6.642.,2.005.
-0.443.,2.005.
-7.841.,2.005.
-1.162.,2.005.
-6.704.,2.005.
2.194.,2.005.
-7.812.,2.005.
-0.289.,2.005.
6.224.,2.005.
8.520.,2.005.
6.913.,2.005.
0.944.,2.005.
-5.759.,2.005.
-3.710.,2.005.
1.495.,2.005.
-6.886.,2.005.
0.229.,2.005.
9.547.,2.005.
-1.612.,2.005.
-6.989.,2.005.
-6.077.,2.005.
-9.377.,2.005.
9.431.,2.005.
-4.245.,2.005.
-4.445.,2.005.
5.126.,2.005.
8.453.,2.005.
-0.425.,2.005.
-2.001.,2.005.
7.114.,2.005.
-2.344.,2.005.
6.753.,2.005.
3.575.,2.005.
-5.790.,2.005.
6.888.,2.005.
4.721.,2.005.
-4.353.,2.005.
9.679.,2.005.
3.776.,2.005.
6.272.,2.005.
-9.129.,2.005.
6.634.,2.005.
6.669.,2.005.
-8.208.,2.005.
9.341.,2.005.
-2.194.,2.005.
5.576.,2.005.
-5.072.,2.005.
-8.289.,2.005.
-3.412.,2.005.
8.250.,2.005.
5.399.,2.005.
-9.498.,2.005.
2.986.,2.005.
-5.189.,2.005.
2.655.,2.005.
3.934.,2.005.
-8.514.,2.005.
-8.793.,2.005.
1.559.,2.005.
-4.758.,2.005.
-4.073.,2.005.
7.429.,2.005.
-5.947.,2.005.
2.523.,2.005.
4.896.,2.005.
-4.139.,2.005.
-1.563.,2.005.
-2.128.,2.005.
-5.074.,2.005.
3.247.,2.005.
3.816.,2.005.
7.445.,2.005.
6.988.,2.005.
4.699.,2.005.
9.420.,2.005.
5.924.,2.005.
8.739.,2.005.
8.254.,2.005.
3.796.,2.005.
4.424.,2.005.
9.286.,2.005.
-0.251.,2.005.
-2.403.,2.005.
3.951.,2.005.
7.323.,2.005.
-1.356.,2.005.
9.249.,2.005.
-7.668.,2.005.
9.261.,2.005.
-5.641.,2.005.
4.417.,2.005.
-5.834.,2.005.
-1.721.,2.005.
7.181.,2.005.
3.056.,2.005.
-5.200.,2.005.
1.492.,2.005.
4.240.,2.005.
-7.325.,2.005.
5.619.,2.005.
1.532.,2.005.
-4.797.,2.005.
2.726.,2.005.
-4.053.,2.005.
5.258.,2.005.
-3.657.,2.005.
-7.878.,2.005.
1.917.,2.005.
-9.845.,2.005.
-5.062.,2.005.
5.867.,2.005.
1.707.,2.005.
-6.286.,2.005.
-0.169.,2.005.
-7.166.,2.005.
0.583.,2.005.
-4.958.,2.005.
3.238.,2.005.
-5.543.,2.005.
-2.888.,2.005.
-5.692.,2.005.
7.064.,2.005.
-0.364.,2.005.
-9.110.,2.005.
0.453.,2.005.
9.957.,2.005.
-0.379.,2.005.
-7.993.,2.005.
3.444.,2.005.
5.845.,2.005.
-0.984.,2.005.
-6.803.,2.005.
-9.013.,2.005.
-7.559.,2.005.
-0.778.,2.005.
5.490.,2.005.
6.247.,2.005.
-7.170.,2.005.
6.599.,2.005.
5.283.,2.005.
8.272.,2.005.
-9.493.,2.005.
-5.382.,2.005.
5.519.,2.005.
5.736.,2.005.
-1.908.,2.005.
6.736.,2.005.
-3.106.,2.005.
-5.987.,2.005.
-6.871.,2.005.
-7.557.,2.005.
-6.419.,2.005.
-8.090.,2.005.
4.252.,2.005.
-6.377.,2.005.
-6.250.,2.005.
-6.996.,2.005.
0.828.,2.005.
-8.225.,2.005.
-9.032.,2.005.
5.861.,2.005.
0.909.,2.005.
-5.276.,2.005.
7.136.,2.005.
9.665.,2.005.
-0.168.,2.005.
9.481.,2.005.
8.694.,2.005.
-5.891.,2.005.
-7.391.,2.005.
-6.837.,2.005.
4.808.,2.005.
-6.783.,2.005.
-4.013.,2.005.
-4.527.,2.005.
-0.407.,2.005.
-3.011.,2.005.
2.413.,2.005.
-8.066.,2.005.
6.779.,2.005.
8.937.,2.005.
-0.847.,2.005.
-6.382.,2.005.
-6.817.,2.005.
-9.408.,2.005.
3.532.,2.005.
1.654.,2.005.
9.662.,2.005.
-5.770.,2.005.
4.730.,2.005.
0.416.,2.005.
6.998.,2.005.
-8.660.,2.005.
3.062.,2.005.
8.355.,2.005.
6.691.,2.005.
-9.647.,2.005.
-4.391.,2.005.
0.864.,2.005.
-1.856.,2.005.
-8.799.,2.005.
6.422.,2.005.
-8.398.,2.005.
2.364.,2.005.
0.531.,2.005.
-1.113.,2.005.
1.041.,2.005.
1.844.,2.005.
2.347.,2.005.
-5.776.,2.005.
3.182.,2.005.
9.699.,2.005.
-3.346.,2.005.
7.305.,2.005.
-0.289.,2.005.
0.959.,2.005.
0.686.,2.005.
3.865.,2.005.
-6.743.,2.005.
0.394.,2.005.
9.088.,2.005.
7.789.,2.005.
9.626.,2.005.
6.540.,2.005.
-6.442.,2.005.
7.257.,2.005.
3.592.,2.005.
-0.519.,2.005.
8.353.,2.005.
-4.536.,2.005.
