# x,p
-1.095.,-1.095.
1.342.,0.134.
9.299.,0.930.
4.433.,0.930.
-4.747.,0.525.
-9.019.,0.098.
-7.347.,0.098.
-5.367.,0.098.
-9.720.,0.028.
3.087.,0.309.
3.285.,0.328.
-6.878.,0.312.
-8.436.,0.156.
6.133.,0.613.
-7.147.,0.285.
-2.775.,0.285.
4.952.,0.495.
8.492.,0.849.
-4.359.,0.564.
3.959.,0.564.
-1.210.,0.564.
-2.779.,0.564.
-1.695.,0.564.
9.236.,0.924.
0.839.,0.924.
9.695.,0.969.
6.693.,0.969.
-7.704.,0.230.
-4.461.,0.230.
-1.000.,0.230.
-1.742.,0.230.
-9.865.,0.013.
5.629.,0.563.
-1.124.,0.563.
3.597.,0.563.
5.730.,0.573.
1.166.,0.573.
-2.161.,0.573.
-4.690.,0.531.
9.985.,0.999.
-3.228.,0.677.
1.275.,0.677.
8.739.,0.874.
-7.072.,0.293.
-0.276.,0.293.
5.777.,0.578.
1.816.,0.578.
-5.028.,0.497.
-5.579.,0.442.
5.839.,0.584.
-7.726.,0.227.
-2.898.,0.227.
2.588.,0.259.
3.073.,0.307.
5.289.,0.529.
7.976.,0.798.
9.243.,0.924.
9.162.,0.924.
3.198.,0.924.
-9.344.,0.066.
-3.903.,0.066.
-9.797.,0.020.
-9.834.,0.017.
-1.610.,0.017.
-7.129.,0.017.
4.837.,0.484.
-4.274.,0.484.
4.205.,0.484.
3.012.,0.484.
-7.494.,0.251.
3.073.,0.307.
-1.994.,0.307.
-3.113.,0.307.
-2.717.,0.307.
7.917.,0.792.
-5.995.,0.400.
-4.399.,0.400.
6.581.,0.658.
5.297.,0.658.
0.932.,0.658.
-1.674.,0.658.
9.005.,0.901.
2.276.,0.901.
7.148.,0.901.
2.951.,0.901.
1.191.,0.901.
5.139.,0.901.
-2.947.,0.705.
3.713.,0.705.
1.058.,0.705.
-2.914.,0.705.
1.713.,0.705.
1.293.,0.705.
7.781.,0.778.
-8.729.,0.127.
6.647.,0.665.
6.199.,0.665.
5.686.,0.665.
-1.889.,0.665.
-8.645.,0.135.
7.801.,0.780.
-5.596.,0.440.
-4.929.,0.440.
-6.667.,0.333.
2.946.,0.333.
5.714.,0.571.
-0.566.,0.571.
-2.515.,0.571.
1.392.,0.571.
1.687.,0.571.
7.494.,0.749.
3.905.,0.749.
-2.016.,0.749.
1.482.,0.749.
-3.156.,0.684.
0.763.,0.684.
-0.835.,0.684.
-4.200.,0.580.
-9.966.,0.003.
8.021.,0.802.
-1.059.,0.802.
8.045.,0.804.
-0.513.,0.804.
2.469.,0.804.
6.994.,0.804.
-1.887.,0.804.
-2.302.,0.770.
0.793.,0.770.
1.561.,0.770.
9.559.,0.956.
0.260.,0.956.
-0.273.,0.956.
-8.628.,0.137.
-9.814.,0.019.
0.180.,0.019.
8.070.,0.807.
-4.128.,0.587.
-6.971.,0.303.
-8.178.,0.182.
-1.840.,0.182.
-5.939.,0.182.
-9.691.,0.031.
3.959.,0.396.
5.253.,0.525.
-3.888.,0.525.
-8.699.,0.130.
-4.560.,0.130.
-5.447.,0.130.
-6.091.,0.130.
3.247.,0.325.
6.144.,0.614.
-5.008.,0.499.
4.142.,0.499.
-8.719.,0.128.
-1.603.,0.128.
-5.265.,0.128.
-6.199.,0.128.
-5.010.,0.128.
1.314.,0.131.
7.214.,0.721.
-0.830.,0.721.
-0.154.,0.721.
-4.000.,0.600.
6.203.,0.620.
6.283.,0.628.
-3.199.,0.628.
-9.300.,0.070.
0.529.,0.070.
-4.993.,0.070.
-7.364.,0.070.
-4.875.,0.070.
-0.471.,0.070.
4.412.,0.441.
-4.873.,0.441.
-0.852.,0.441.
-5.622.,0.438.
-3.443.,0.438.
-9.962.,0.004.
8.082.,0.808.
6.827.,0.808.
-6.786.,0.321.
2.065.,0.321.
-0.902.,0.321.
-3.105.,0.321.
6.439.,0.644.
-6.738.,0.326.
-8.744.,0.126.
5.533.,0.553.
-3.731.,0.553.
6.261.,0.626.
3.014.,0.626.
0.746.,0.626.
5.160.,0.626.
6.130.,0.626.
-2.027.,0.626.
8.380.,0.838.
2.954.,0.838.
-1.667.,0.833.
-9.232.,0.077.
-0.296.,0.077.
7.874.,0.787.
2.190.,0.787.
5.553.,0.787.
5.055.,0.787.
5.903.,0.787.
4.808.,0.787.
-3.252.,0.675.
-6.411.,0.359.
7.933.,0.793.
9.790.,0.979.
-4.991.,0.501.
5.989.,0.599.
-1.249.,0.599.
-7.415.,0.259.
-9.175.,0.082.
3.990.,0.399.
3.895.,0.399.
-2.988.,0.399.
9.572.,0.957.
0.372.,0.957.
-7.846.,0.215.
-0.625.,0.215.
-6.001.,0.215.
6.055.,0.605.
4.405.,0.605.
-4.778.,0.522.
8.901.,0.890.
5.621.,0.890.
-1.651.,0.835.
2.939.,0.835.
1.203.,0.835.
1.412.,0.835.
4.177.,0.835.
6.180.,0.835.
-5.062.,0.494.
-8.685.,0.131.
-2.076.,0.131.
-0.062.,0.131.
-8.022.,0.131.
2.681.,0.268.
-1.417.,0.268.
5.680.,0.568.
2.630.,0.568.
-9.491.,0.051.
-8.448.,0.051.
1.576.,0.158.
-6.495.,0.158.
5.505.,0.550.
6.597.,0.660.
-7.345.,0.265.
-5.602.,0.265.
3.456.,0.346.
7.839.,0.784.
-6.897.,0.310.
-6.861.,0.310.
-0.787.,0.310.
-0.463.,0.310.
8.806.,0.881.
-4.484.,0.552.
-2.179.,0.552.
9.052.,0.905.
9.546.,0.955.
-3.160.,0.684.
0.567.,0.684.
1.107.,0.684.
4.131.,0.684.
1.263.,0.684.
-5.757.,0.424.
-3.733.,0.424.
-2.156.,0.424.
8.463.,0.846.
8.877.,0.888.
-8.414.,0.159.
1.746.,0.175.
-9.651.,0.035.
-5.404.,0.035.
3.713.,0.371.
4.096.,0.410.
-5.451.,0.410.
-8.229.,0.177.
1.513.,0.177.
9.710.,0.971.
-9.661.,0.034.
-1.376.,0.034.
-3.434.,0.034.
-0.714.,0.034.
-7.262.,0.034.
4.886.,0.489.
2.054.,0.489.
8.251.,0.825.
-3.231.,0.677.
8.272.,0.827.
-1.013.,0.827.
2.698.,0.827.
-7.815.,0.218.
9.134.,0.913.
1.008.,0.913.
3.668.,0.913.
-5.087.,0.491.
8.557.,0.856.
8.885.,0.888.
-8.570.,0.143.
-7.963.,0.143.
7.097.,0.710.
1.482.,0.710.
6.866.,0.710.
6.599.,0.710.
-6.616.,0.338.
-5.076.,0.338.
3.170.,0.338.
-9.455.,0.054.
5.579.,0.558.
-2.063.,0.558.
-1.439.,0.558.
-6.152.,0.385.
-3.694.,0.385.
-8.439.,0.156.
-9.856.,0.014.
-4.207.,0.014.
-9.663.,0.014.
3.154.,0.315.
6.288.,0.629.
-6.788.,0.321.
5.809.,0.581.
-6.574.,0.343.
-2.398.,0.343.
-2.778.,0.343.
2.595.,0.343.
-4.427.,0.343.
7.711.,0.771.
1.852.,0.771.
-3.067.,0.693.
1.542.,0.693.
2.211.,0.693.
5.694.,0.693.
-1.274.,0.693.
-0.979.,0.693.
-5.613.,0.439.
-7.850.,0.215.
-6.266.,0.215.
-3.612.,0.215.
9.281.,0.928.
9.520.,0.952.
9.580.,0.958.
6.055.,0.958.
5.374.,0.958.
-4.957.,0.504.
5.999.,0.600.
-8.388.,0.161.
7.608.,0.761.
-6.997.,0.300.
5.649.,0.565.
-9.733.,0.027.
-7.424.,0.027.
-7.309.,0.027.
3.345.,0.334.
-6.797.,0.320.
-8.192.,0.181.
9.054.,0.905.
9.995.,1.000.
9.764.,1.000.
-7.286.,0.271.
-8.193.,0.181.
-3.348.,0.181.
-9.979.,0.002.
-2.069.,0.002.
-3.912.,0.002.
9.482.,0.948.
-3.849.,0.615.
6.712.,0.671.
-8.829.,0.117.
8.740.,0.874.
-9.081.,0.092.
-5.372.,0.092.
-5.738.,0.092.
0.869.,0.092.
-5.838.,0.092.
-5.941.,0.092.
9.998.,1.000.
8.361.,1.000.
9.509.,1.000.
7.723.,1.000.
-1.222.,0.878.
9.307.,0.931.
6.743.,0.931.
-9.452.,0.055.
-3.524.,0.055.
7.244.,0.724.
9.998.,1.000.
1.869.,1.000.
5.835.,1.000.
0.429.,1.000.
-5.707.,0.429.
5.583.,0.558.
9.805.,0.980.
-1.935.,0.807.
1.360.,0.807.
-6.732.,0.327.
3.968.,0.397.
7.606.,0.761.
-4.461.,0.554.
2.778.,0.554.
4.897.,0.554.
7.983.,0.798.
4.701.,0.798.
-1.029.,0.798.
-1.991.,0.798.
-4.441.,0.556.
0.193.,0.556.
-5.027.,0.497.
-5.506.,0.449.
4.415.,0.449.
-8.738.,0.126.
8.340.,0.834.
7.705.,0.834.
-5.412.,0.459.
-2.963.,0.459.
-5.092.,0.459.
-8.544.,0.146.
-4.360.,0.146.
8.411.,0.841.
0.479.,0.841.
2.026.,0.841.
3.866.,0.841.
2.948.,0.841.
2.153.,0.841.
4.375.,0.841.
-6.799.,0.320.
-3.672.,0.320.
8.615.,0.862.
5.609.,0.862.
2.623.,0.862.
6.213.,0.862.
-9.122.,0.088.
-0.774.,0.088.
9.006.,0.901.
3.374.,0.901.
5.783.,0.901.
5.259.,0.901.
-4.721.,0.528.
4.689.,0.528.
4.914.,0.528.
-3.893.,0.528.
1.128.,0.528.
-3.810.,0.528.
-5.327.,0.467.
-6.671.,0.333.
9.905.,0.991.
-7.849.,0.215.
-7.789.,0.215.
-2.357.,0.215.
-9.076.,0.092.
3.332.,0.333.
9.192.,0.919.
2.197.,0.919.
5.528.,0.919.
-5.939.,0.406.
-1.906.,0.406.
2.664.,0.406.
-3.089.,0.406.
4.493.,0.449.
3.734.,0.449.
4.896.,0.490.
6.974.,0.697.
0.189.,0.697.
3.975.,0.697.
-9.370.,0.063.
-0.961.,0.063.
3.947.,0.395.
-8.930.,0.107.
-3.646.,0.107.
-5.775.,0.107.
1.206.,0.121.
8.625.,0.862.
3.554.,0.862.
-9.573.,0.043.
8.583.,0.858.
-0.585.,0.858.
2.342.,0.858.
1.781.,0.858.
-0.257.,0.858.
-6.625.,0.337.
-2.822.,0.337.
9.068.,0.907.
-5.241.,0.476.
-5.624.,0.438.
-5.779.,0.422.
0.422.,0.422.
-7.584.,0.242.
2.075.,0.242.
-0.494.,0.242.
-0.833.,0.242.
-9.036.,0.096.
3.458.,0.346.
-8.055.,0.194.
4.051.,0.405.
5.455.,0.546.
-0.961.,0.546.
9.382.,0.938.
9.495.,0.949.
