# x,p
8.170.,8.170.
8.559.,7.356.
7.704.,7.270.
-0.586.,6.441.
6.139.,6.441.
7.701.,6.441.
8.572.,6.441.
-3.866.,6.113.
6.295.,6.113.
3.337.,6.113.
6.233.,6.113.
0.772.,6.113.
-6.438.,5.856.
-6.127.,5.856.
0.770.,5.856.
1.687.,5.856.
3.543.,5.856.
9.308.,5.856.
-2.937.,5.856.
5.319.,5.856.
-0.854.,5.856.
-1.852.,5.856.
5.360.,5.856.
-1.133.,5.856.
4.752.,5.856.
2.020.,5.856.
-5.523.,5.856.
6.960.,5.856.
-6.318.,5.856.
-8.324.,5.668.
-2.575.,5.668.
-4.513.,5.668.
9.007.,5.668.
6.326.,5.668.
-3.429.,5.668.
-4.880.,5.668.
9.853.,5.668.
7.548.,5.668.
4.603.,5.668.
-2.468.,5.668.
0.768.,5.668.
-3.973.,5.668.
5.544.,5.668.
6.847.,5.668.
3.065.,5.668.
1.045.,5.668.
8.141.,5.668.
9.088.,5.668.
-2.120.,5.668.
7.344.,5.668.
-4.244.,5.668.
-6.610.,5.668.
-2.705.,5.668.
6.512.,5.668.
6.387.,5.668.
-0.284.,5.668.
3.561.,5.668.
-7.830.,5.668.
5.412.,5.668.
-0.438.,5.668.
6.982.,5.668.
4.516.,5.668.
5.892.,5.668.
1.750.,5.668.
8.342.,5.668.
8.407.,5.668.
-5.815.,5.668.
-9.349.,5.565.
-1.857.,5.565.
-1.701.,5.565.
-6.786.,5.565.
-8.582.,5.565.
-0.458.,5.565.
-9.134.,5.565.
-9.965.,5.503.
-7.372.,5.503.
0.944.,5.503.
-5.611.,5.503.
4.687.,5.503.
0.282.,5.503.
-8.930.,5.503.
-3.408.,5.503.
-9.673.,5.503.
-5.493.,5.503.
3.107.,5.503.
-6.172.,5.503.
5.355.,5.503.
-6.026.,5.503.
3.513.,5.503.
6.653.,5.503.
-2.175.,5.503.
-8.796.,5.503.
-0.798.,5.503.
-7.197.,5.503.
-0.349.,5.503.
-0.549.,5.503.
-3.541.,5.503.
-7.870.,5.503.
9.140.,5.503.
-7.922.,5.503.
-5.665.,5.503.
2.505.,5.503.
4.208.,5.503.
-0.125.,5.503.
-9.105.,5.503.
-8.811.,5.503.
6.427.,5.503.
-3.275.,5.503.
-3.646.,5.503.
-1.508.,5.503.
-9.776.,5.503.
7.189.,5.503.
0.829.,5.503.
-8.480.,5.503.
6.928.,5.503.
7.005.,5.503.
-3.690.,5.503.
2.068.,5.503.
-7.396.,5.503.
-7.299.,5.503.
-9.134.,5.503.
-5.619.,5.503.
0.522.,5.503.
-7.246.,5.503.
7.619.,5.503.
6.043.,5.503.
2.422.,5.503.
9.006.,5.503.
