# x,p
0.000,0.000
-0.000,0.000
-0.634,0.000
-1.266,0.000
-1.893,-0.178
-2.511,-2.034
-3.120,-3.861
-3.717,-5.650
-4.298,-7.394
-4.862,-9.086
-5.406,-10.719
-5.929,-12.287
-6.428,-13.784
-6.901,-15.202
-7.346,-16.538
-7.761,-17.784
-8.146,-18.937
-8.497,-19.992
-8.815,-20.944
-9.096,-21.789
-9.341,-22.524
-9.549,-23.147
-9.718,-23.654
-9.848,-24.044
-9.938,-24.315
-9.989,-24.466
-9.999,-24.496
-9.969,-24.496
-9.898,-24.496
-9.788,-24.496
-9.638,-24.496
-9.450,-24.496
-9.224,-24.496
-8.960,-24.496
-8.660,-24.496
-8.326,-24.496
-7.958,-23.873
-7.557,-22.672
-7.127,-21.381
-6.668,-20.003
-6.182,-18.545
-5.671,-17.012
-5.137,-15.410
-4.582,-13.747
-4.009,-12.028
-3.420,-10.261
-2.817,-8.452
-2.203,-6.609
-1.580,-4.740
-0.951,-2.852
-0.317,-0.952
0.317,0.952
0.951,2.852
1.580,4.740
2.203,6.609
2.817,8.452
3.420,10.261
4.009,12.028
4.582,13.747
5.137,15.410
5.671,17.012
6.182,18.545
6.668,20.003
7.127,21.381
7.557,22.672
7.958,23.873
8.326,24.977
8.660,25.981
8.960,26.880
9.224,27.671
9.450,28.350
9.638,28.915
9.788,29.364
9.898,29.695
9.969,29.906
9.999,29.996
9.989,29.996
9.938,29.996
9.848,29.996
9.718,29.996
9.549,29.996
9.341,29.996
9.096,29.996
8.815,29.996
8.497,29.996
8.146,29.937
7.761,28.784
7.346,27.538
6.901,26.202
6.428,24.784
5.929,23.287
5.406,21.719
4.862,20.086
4.298,18.394
3.717,16.650
3.120,14.861
2.511,13.034
1.893,11.178
1.266,9.298
0.634,7.403
0.000,5.500
-0.000,5.500
-0.317,4.549
-0.633,3.601
-0.946,2.661
-1.256,1.733
-1.560,0.819
-1.858,-0.075
-2.149,-0.947
-2.431,-1.793
-2.703,-2.610
-2.965,-3.394
-3.214,-4.142
-3.450,-4.851
-3.673,-5.519
-3.881,-6.142
-4.073,-6.719
-4.249,-7.246
-4.407,-7.722
-4.548,-8.144
-4.671,-8.512
-4.775,-8.824
-4.859,-9.077
-4.924,-9.272
-4.969,-9.408
-4.994,-9.483
-4.999,-9.498
-4.984,-9.498
-4.949,-9.498
-4.894,-9.498
-4.819,-9.498
-4.725,-9.498
-4.612,-9.498
-4.480,-9.498
-4.330,-9.498
-4.163,-9.498
-3.979,-9.498
-3.779,-9.498
-3.563,-9.498
-3.334,-9.498
-3.091,-9.272
-2.835,-8.506
-2.568,-7.705
-2.291,-6.873
-2.005,-6.014
-1.710,-5.130
-1.409,-4.226
-1.102,-3.305
-0.790,-2.370
-0.475,-1.426
-0.159,-0.476
0.159,0.476
0.475,1.426
0.790,2.370
1.102,3.305
1.409,4.226
1.710,5.130
2.005,6.014
2.291,6.873
2.568,7.705
2.835,8.506
3.091,9.272
3.334,10.002
3.563,10.690
3.779,11.336
3.979,11.936
4.163,12.489
4.330,12.990
4.480,13.440
4.612,13.835
4.725,14.175
4.819,14.458
4.894,14.682
4.949,14.847
4.984,14.953
4.999,14.998
4.994,14.998
4.969,14.998
4.924,14.998
4.859,14.998
4.775,14.998
4.671,14.998
4.548,14.998
4.407,14.998
4.249,14.998
4.073,14.998
3.881,14.998
3.673,14.998
3.450,14.998
3.214,14.998
2.965,14.394
2.703,13.610
2.431,12.793
2.149,11.947
1.858,11.075
1.560,10.181
1.256,9.267
0.946,8.339
0.633,7.399
0.317,6.451
0.000,5.500
