# x,p
-7.693.,-7.693.
-1.459.,-0.146.
2.954.,0.295.
5.792.,0.579.
-2.196.,0.579.
-5.587.,0.579.
0.290.,0.579.
5.095.,0.579.
6.481.,0.648.
-0.309.,0.648.
4.321.,0.648.
9.303.,0.930.
6.447.,0.930.
6.706.,0.930.
5.811.,0.930.
-3.047.,0.930.
1.327.,0.930.
-0.873.,0.930.
-6.089.,0.930.
6.112.,0.930.
-4.076.,0.930.
2.732.,0.930.
-9.931.,0.930.
3.668.,0.930.
-5.023.,0.930.
-8.576.,0.930.
6.934.,0.930.
9.551.,0.955.
-7.190.,0.955.
-8.954.,0.955.
8.934.,0.955.
-8.569.,0.955.
9.316.,0.955.
-3.040.,0.955.
2.724.,0.955.
2.451.,0.955.
0.132.,0.955.
0.696.,0.955.
-4.899.,0.955.
-0.556.,0.955.
7.142.,0.955.
3.179.,0.955.
-6.213.,0.955.
-5.783.,0.955.
1.994.,0.955.
-4.057.,0.955.
5.896.,0.955.
-5.255.,0.955.
-1.232.,0.955.
8.993.,0.955.
2.516.,0.955.
1.323.,0.955.
8.460.,0.955.
3.996.,0.955.
-0.878.,0.955.
2.655.,0.955.
-9.703.,0.955.
4.476.,0.955.
-8.190.,0.955.
-5.710.,0.955.
-9.504.,0.955.
8.297.,0.955.
-2.716.,0.955.
-9.060.,0.955.
-8.267.,0.955.
-0.243.,0.955.
-2.501.,0.955.
-7.577.,0.955.
-2.756.,0.955.
-0.686.,0.955.
5.387.,0.955.
6.481.,0.955.
3.735.,0.955.
-1.775.,0.955.
8.049.,0.955.
-0.235.,0.955.
-1.652.,0.955.
-0.449.,0.955.
9.270.,0.955.
0.979.,0.955.
-5.522.,0.955.
2.199.,0.955.
-2.692.,0.955.
5.178.,0.955.
-7.848.,0.955.
0.417.,0.955.
-3.947.,0.955.
-9.749.,0.955.
-6.247.,0.955.
5.965.,0.955.
-1.962.,0.955.
2.474.,0.955.
-9.436.,0.955.
9.671.,0.967.
-4.108.,0.967.
1.844.,0.967.
8.080.,0.967.
-7.904.,0.967.
-2.123.,0.967.
7.114.,0.967.
3.538.,0.967.
1.685.,0.967.
-2.844.,0.967.
-4.427.,0.967.
-8.515.,0.967.
-8.556.,0.967.
2.770.,0.967.
6.914.,0.967.
1.930.,0.967.
6.740.,0.967.
-5.742.,0.967.
-1.675.,0.967.
-1.642.,0.967.
1.012.,0.967.
-2.011.,0.967.
-0.559.,0.967.
-2.605.,0.967.
9.698.,0.970.
4.783.,0.970.
-9.940.,0.970.
-0.130.,0.970.
