# x,p
5.421.,5.421.
3.879.,4.388.
-7.225.,3.277.
-6.566.,3.277.
-7.811.,3.219.
-3.182.,3.219.
8.103.,3.219.
-8.697.,3.130.
-7.561.,3.130.
5.821.,3.130.
-3.231.,3.130.
5.018.,3.130.
3.187.,3.130.
-8.871.,3.113.
-9.164.,3.084.
1.291.,3.084.
6.482.,3.084.
-7.569.,3.084.
-9.623.,3.038.
0.064.,3.038.
4.587.,3.038.
-0.704.,3.038.
7.236.,3.038.
1.101.,3.038.
-6.032.,3.038.
8.968.,3.038.
4.916.,3.038.
7.047.,3.038.
7.000.,3.038.
5.947.,3.038.
-2.763.,3.038.
1.695.,3.038.
-7.219.,3.038.
-8.819.,3.038.
-5.987.,3.038.
6.977.,3.038.
2.502.,3.038.
-0.782.,3.038.
-9.894.,3.011.
8.227.,3.011.
8.488.,3.011.
-3.238.,3.011.
-6.233.,3.011.
-9.848.,3.011.
-6.602.,3.011.
3.462.,3.011.
8.735.,3.011.
4.952.,3.011.
8.193.,3.011.
0.822.,3.011.
6.017.,3.011.
2.978.,3.011.
6.142.,3.011.
-6.779.,3.011.
-5.933.,3.011.
-6.029.,3.011.
0.235.,3.011.
8.058.,3.011.
-9.042.,3.011.
-1.546.,3.011.
5.105.,3.011.
-0.524.,3.011.
-4.780.,3.011.
-2.443.,3.011.
-6.198.,3.011.
-5.836.,3.011.
-6.355.,3.011.
0.516.,3.011.
-0.652.,3.011.
4.139.,3.011.
4.154.,3.011.
-5.915.,3.011.
-3.711.,3.011.
-4.634.,3.011.
8.176.,3.011.
5.122.,3.011.
2.906.,3.011.
8.031.,3.011.
0.755.,3.011.
-4.895.,3.011.
8.267.,3.011.
-9.920.,3.008.
6.373.,3.008.
3.521.,3.008.
-1.992.,3.008.
-0.334.,3.008.
-3.732.,3.008.
-6.446.,3.008.
5.928.,3.008.
3.667.,3.008.
-1.235.,3.008.
-6.268.,3.008.
8.906.,3.008.
2.497.,3.008.
-2.029.,3.008.
6.225.,3.008.
-8.269.,3.008.
1.071.,3.008.
-1.729.,3.008.
5.402.,3.008.
1.027.,3.008.
5.085.,3.008.
8.942.,3.008.
5.398.,3.008.
-0.122.,3.008.
-2.654.,3.008.
4.211.,3.008.
-8.077.,3.008.
-7.861.,3.008.
-9.578.,3.008.
-0.517.,3.008.
2.797.,3.008.
-7.333.,3.008.
5.001.,3.008.
2.508.,3.008.
5.852.,3.008.
-9.896.,3.008.
-7.720.,3.008.
