# x,p
-9.930.,-9.930.
-4.139.,-0.414.
6.146.,0.615.
-2.449.,0.615.
0.101.,0.615.
1.867.,0.615.
7.898.,0.790.
9.010.,0.901.
-4.925.,0.901.
-7.247.,0.901.
-1.120.,0.901.
-6.077.,0.901.
-5.520.,0.901.
-5.712.,0.901.
-3.263.,0.901.
-4.716.,0.901.
-6.363.,0.901.
4.926.,0.901.
2.373.,0.901.
-5.728.,0.901.
4.852.,0.901.
-3.238.,0.901.
4.669.,0.901.
0.518.,0.901.
5.711.,0.901.
4.572.,0.901.
-0.363.,0.901.
-0.168.,0.901.
-4.300.,0.901.
0.507.,0.901.
6.100.,0.901.
-2.857.,0.901.
2.478.,0.901.
9.093.,0.909.
4.434.,0.909.
0.207.,0.909.
-5.305.,0.909.
-6.706.,0.909.
1.059.,0.909.
3.032.,0.909.
2.104.,0.909.
-0.458.,0.909.
4.192.,0.909.
0.633.,0.909.
2.870.,0.909.
3.595.,0.909.
-6.638.,0.909.
-0.073.,0.909.
6.665.,0.909.
8.829.,0.909.
-9.152.,0.909.
8.034.,0.909.
-6.830.,0.909.
5.080.,0.909.
-7.068.,0.909.
-0.435.,0.909.
5.825.,0.909.
-7.213.,0.909.
-1.643.,0.909.
8.672.,0.909.
8.472.,0.909.
8.879.,0.909.
-9.546.,0.909.
-9.890.,0.909.
1.429.,0.909.
6.775.,0.909.
4.686.,0.909.
-4.174.,0.909.
4.870.,0.909.
-1.074.,0.909.
-9.987.,0.909.
-4.900.,0.909.
4.349.,0.909.
0.107.,0.909.
-8.365.,0.909.
-0.896.,0.909.
6.633.,0.909.
-8.557.,0.909.
-9.043.,0.909.
6.415.,0.909.
4.185.,0.909.
0.231.,0.909.
-6.874.,0.909.
7.522.,0.909.
-0.008.,0.909.
9.018.,0.909.
-2.186.,0.909.
1.532.,0.909.
-4.194.,0.909.
-2.934.,0.909.
8.796.,0.909.
3.566.,0.909.
-4.342.,0.909.
-8.291.,0.909.
6.738.,0.909.
-1.160.,0.909.
9.134.,0.913.
8.795.,0.913.
-5.091.,0.913.
-8.624.,0.913.
-0.831.,0.913.
-9.326.,0.913.
-5.978.,0.913.
-2.612.,0.913.
3.959.,0.913.
3.434.,0.913.
-6.581.,0.913.
5.546.,0.913.
-5.024.,0.913.
-2.018.,0.913.
-1.880.,0.913.
-2.733.,0.913.
3.974.,0.913.
-8.322.,0.913.
7.280.,0.913.
3.198.,0.913.
6.333.,0.913.
-6.688.,0.913.
8.259.,0.913.
-8.755.,0.913.
-5.868.,0.913.
-7.906.,0.913.
-5.823.,0.913.
9.441.,0.944.
6.567.,0.944.
-4.650.,0.944.
-5.105.,0.944.
2.673.,0.944.
3.493.,0.944.
-0.635.,0.944.
-2.280.,0.944.
9.202.,0.944.
8.823.,0.944.
0.357.,0.944.
3.645.,0.944.
-9.534.,0.944.
-5.449.,0.944.
3.944.,0.944.
6.972.,0.944.
7.132.,0.944.
5.459.,0.944.
4.978.,0.944.
2.084.,0.944.
-4.958.,0.944.
2.247.,0.944.
7.725.,0.944.
-8.679.,0.944.
-9.316.,0.944.
4.334.,0.944.
-4.736.,0.944.
4.702.,0.944.
-1.386.,0.944.
-9.256.,0.944.
9.902.,0.990.
-4.161.,0.990.
-9.096.,0.990.
-6.295.,0.990.
9.340.,0.990.
5.382.,0.990.
8.661.,0.990.
-6.554.,0.990.
-9.756.,0.990.
0.208.,0.990.
-8.614.,0.990.
-7.555.,0.990.
7.454.,0.990.
-0.820.,0.990.
7.856.,0.990.
2.549.,0.990.
9.698.,0.990.
-0.188.,0.990.
7.170.,0.990.
1.039.,0.990.
-5.569.,0.990.
-6.850.,0.990.
2.925.,0.990.
6.923.,0.990.
6.159.,0.990.
-6.850.,0.990.
-2.674.,0.990.
-6.831.,0.990.
-2.960.,0.990.
4.774.,0.990.
4.686.,0.990.
3.387.,0.990.
1.753.,0.990.
0.190.,0.990.
-7.830.,0.990.
-2.773.,0.990.
-3.313.,0.990.
1.505.,0.990.
-2.053.,0.990.
7.489.,0.990.
7.640.,0.990.
4.864.,0.990.
5.523.,0.990.
-8.364.,0.990.
2.920.,0.990.
-4.493.,0.990.
-9.637.,0.990.
-7.584.,0.990.
-0.745.,0.990.
-4.114.,0.990.
-4.768.,0.990.
-2.190.,0.990.
9.460.,0.990.
-8.797.,0.990.
3.285.,0.990.
-9.423.,0.990.
3.979.,0.990.
8.821.,0.990.
-9.004.,0.990.
-8.265.,0.990.
-1.183.,0.990.
0.145.,0.990.
8.390.,0.990.
8.065.,0.990.
-8.684.,0.990.
0.858.,0.990.
-5.983.,0.990.
3.403.,0.990.
7.832.,0.990.
9.004.,0.990.
-1.673.,0.990.
-6.175.,0.990.
9.504.,0.990.
7.065.,0.990.
-7.666.,0.990.
5.542.,0.990.
-2.412.,0.990.
-9.369.,0.990.
-7.796.,0.990.
9.574.,0.990.
-8.373.,0.990.
5.627.,0.990.
-7.601.,0.990.
-6.899.,0.990.
7.019.,0.990.
2.262.,0.990.
-9.410.,0.990.
7.752.,0.990.
-0.564.,0.990.
4.272.,0.990.
-1.285.,0.990.
9.167.,0.990.
0.464.,0.990.
2.491.,0.990.
-0.615.,0.990.
0.535.,0.990.
4.405.,0.990.
-4.056.,0.990.
-8.748.,0.990.
8.306.,0.990.
1.457.,0.990.
7.155.,0.990.
1.224.,0.990.
-7.201.,0.990.
-4.043.,0.990.
0.500.,0.990.
-5.873.,0.990.
-1.639.,0.990.
-5.989.,0.990.
9.636.,0.990.
-5.739.,0.990.
-1.319.,0.990.
4.148.,0.990.
9.758.,0.990.
-8.632.,0.990.
0.150.,0.990.
5.469.,0.990.
-7.604.,0.990.
-8.626.,0.990.
-0.442.,0.990.
-5.720.,0.990.
-5.321.,0.990.
-6.143.,0.990.
2.153.,0.990.
7.516.,0.990.
8.172.,0.990.
4.591.,0.990.
4.658.,0.990.
2.915.,0.990.
8.761.,0.990.
9.212.,0.990.
-8.177.,0.990.
-1.353.,0.990.
0.835.,0.990.
8.055.,0.990.
-9.731.,0.990.
-0.752.,0.990.
1.696.,0.990.
5.514.,0.990.
-9.890.,0.990.
-4.025.,0.990.
4.468.,0.990.
-2.977.,0.990.
-7.576.,0.990.
-6.694.,0.990.
3.232.,0.990.
-1.435.,0.990.
-8.198.,0.990.
-2.378.,0.990.
9.068.,0.990.
-7.976.,0.990.
-6.882.,0.990.
5.123.,0.990.
-1.416.,0.990.
-1.335.,0.990.
-8.059.,0.990.
-0.880.,0.990.
5.017.,0.990.
-2.411.,0.990.
1.163.,0.990.
-9.880.,0.990.
-7.473.,0.990.
-2.871.,0.990.
-4.559.,0.990.
7.721.,0.990.
4.667.,0.990.
2.277.,0.990.
5.794.,0.990.
7.741.,0.990.
-8.280.,0.990.
-8.739.,0.990.
3.782.,0.990.
-7.330.,0.990.
0.156.,0.990.
-0.530.,0.990.
5.851.,0.990.
2.202.,0.990.
6.827.,0.990.
-1.399.,0.990.
-2.399.,0.990.
-5.923.,0.990.
0.922.,0.990.
-7.418.,0.990.
-7.876.,0.990.
-4.438.,0.990.
-3.898.,0.990.
-2.073.,0.990.
1.617.,0.990.
-0.497.,0.990.
0.852.,0.990.
-3.972.,0.990.
7.897.,0.990.
5.271.,0.990.
7.607.,0.990.
5.647.,0.990.
4.092.,0.990.
6.725.,0.990.
-7.436.,0.990.
9.407.,0.990.
2.479.,0.990.
-2.285.,0.990.
-8.088.,0.990.
-1.953.,0.990.
-1.653.,0.990.
8.351.,0.990.
1.852.,0.990.
-0.115.,0.990.
9.197.,0.990.
4.964.,0.990.
4.338.,0.990.
-7.951.,0.990.
6.647.,0.990.
6.112.,0.990.
-3.430.,0.990.
-3.988.,0.990.
-9.442.,0.990.
1.516.,0.990.
-5.178.,0.990.
9.362.,0.990.
2.961.,0.990.
-5.668.,0.990.
-4.483.,0.990.
-1.696.,0.990.
-0.877.,0.990.
-3.730.,0.990.
-8.476.,0.990.
1.063.,0.990.
0.474.,0.990.
2.363.,0.990.
-2.818.,0.990.
-4.665.,0.990.
5.246.,0.990.
1.875.,0.990.
7.349.,0.990.
-9.960.,0.990.
5.897.,0.990.
-6.336.,0.990.
3.921.,0.990.
5.055.,0.990.
-4.432.,0.990.
-2.441.,0.990.
-8.896.,0.990.
4.697.,0.990.
-4.135.,0.990.
-5.458.,0.990.
4.485.,0.990.
1.210.,0.990.
3.266.,0.990.
-6.257.,0.990.
5.220.,0.990.
-8.218.,0.990.
8.910.,0.990.
-2.719.,0.990.
-3.616.,0.990.
3.593.,0.990.
-3.511.,0.990.
7.614.,0.990.
4.523.,0.990.
6.415.,0.990.
8.410.,0.990.
1.433.,0.990.
5.881.,0.990.
2.010.,0.990.
0.550.,0.990.
5.021.,0.990.
3.324.,0.990.
8.355.,0.990.
0.127.,0.990.
0.029.,0.990.
1.553.,0.990.
-7.033.,0.990.
7.521.,0.990.
-8.276.,0.990.
-8.448.,0.990.
-3.356.,0.990.
-1.398.,0.990.
-4.978.,0.990.
-2.781.,0.990.
4.116.,0.990.
6.353.,0.990.
3.404.,0.990.
-5.152.,0.990.
-9.473.,0.990.
5.296.,0.990.
0.142.,0.990.
