# x,p
-6.104.,-6.104.
-1.330.,-0.133.
-6.831.,-0.133.
-7.999.,-0.133.
1.965.,0.196.
8.802.,0.880.
-3.038.,0.880.
8.715.,0.880.
-6.007.,0.880.
5.373.,0.880.
2.965.,0.880.
-1.726.,0.880.
-9.411.,0.880.
-4.633.,0.880.
6.593.,0.880.
3.861.,0.880.
4.493.,0.880.
5.841.,0.880.
7.255.,0.880.
4.297.,0.880.
7.198.,0.880.
-0.315.,0.880.
3.593.,0.880.
7.596.,0.880.
2.241.,0.880.
-2.619.,0.880.
-7.680.,0.880.
-7.786.,0.880.
-2.595.,0.880.
-0.892.,0.880.
3.135.,0.880.
3.697.,0.880.
-0.337.,0.880.
9.774.,0.977.
8.592.,0.977.
-1.420.,0.977.
8.969.,0.977.
-7.220.,0.977.
2.517.,0.977.
-3.741.,0.977.
0.929.,0.977.
-2.845.,0.977.
-3.097.,0.977.
0.623.,0.977.
-4.891.,0.977.
-8.089.,0.977.
-4.140.,0.977.
-0.355.,0.977.
2.127.,0.977.
-9.925.,0.977.
8.777.,0.977.
-8.719.,0.977.
0.032.,0.977.
-9.879.,0.977.
-6.542.,0.977.
7.303.,0.977.
8.810.,0.977.
5.026.,0.977.
6.248.,0.977.
-2.838.,0.977.
5.995.,0.977.
6.667.,0.977.
-8.740.,0.977.
9.211.,0.977.
8.655.,0.977.
-0.430.,0.977.
-1.906.,0.977.
-0.326.,0.977.
-8.751.,0.977.
7.550.,0.977.
-8.004.,0.977.
-6.674.,0.977.
-3.327.,0.977.
-0.278.,0.977.
0.478.,0.977.
5.065.,0.977.
-6.549.,0.977.
-5.142.,0.977.
-9.981.,0.977.
-5.352.,0.977.
-5.269.,0.977.
9.028.,0.977.
-5.095.,0.977.
7.345.,0.977.
-8.042.,0.977.
6.843.,0.977.
9.565.,0.977.
-1.855.,0.977.
6.526.,0.977.
5.026.,0.977.
-6.228.,0.977.
4.918.,0.977.
-2.848.,0.977.
-9.740.,0.977.
0.894.,0.977.
8.068.,0.977.
1.728.,0.977.
8.757.,0.977.
6.544.,0.977.
2.104.,0.977.
-5.450.,0.977.
6.726.,0.977.
-8.360.,0.977.
9.054.,0.977.
4.248.,0.977.
-0.039.,0.977.
-1.719.,0.977.
-6.776.,0.977.
-8.489.,0.977.
-7.534.,0.977.
-4.224.,0.977.
1.135.,0.977.
3.279.,0.977.
1.783.,0.977.
3.197.,0.977.
6.473.,0.977.
8.524.,0.977.
-3.160.,0.977.
-9.481.,0.977.
6.415.,0.977.
-0.583.,0.977.
-0.625.,0.977.
-6.075.,0.977.
0.803.,0.977.
-0.721.,0.977.
-4.760.,0.977.
-8.002.,0.977.
-8.387.,0.977.
-0.293.,0.977.
8.949.,0.977.
-4.280.,0.977.
-3.672.,0.977.
2.408.,0.977.
-0.959.,0.977.
-0.756.,0.977.
-4.503.,0.977.
6.825.,0.977.
9.106.,0.977.
-7.654.,0.977.
0.624.,0.977.
1.054.,0.977.
5.080.,0.977.
-8.226.,0.977.
3.625.,0.977.
1.360.,0.977.
-0.067.,0.977.
7.759.,0.977.
0.977.,0.977.
-9.371.,0.977.
7.064.,0.977.
0.113.,0.977.
-0.889.,0.977.
-9.852.,0.977.
8.832.,0.977.
-5.672.,0.977.
5.059.,0.977.
-1.187.,0.977.
7.721.,0.977.
