# x,p
-8.239.,-8.239.
7.013.,0.701.
-5.633.,0.701.
3.565.,0.701.
-6.656.,0.701.
-8.657.,0.701.
8.478.,0.848.
0.851.,0.848.
-2.616.,0.848.
1.598.,0.848.
-0.730.,0.848.
8.062.,0.848.
5.672.,0.848.
7.886.,0.848.
-4.905.,0.848.
2.084.,0.848.
-0.307.,0.848.
-7.452.,0.848.
6.983.,0.848.
-3.227.,0.848.
6.367.,0.848.
-8.948.,0.848.
0.262.,0.848.
-8.882.,0.848.
0.447.,0.848.
-2.983.,0.848.
-4.174.,0.848.
-4.151.,0.848.
-5.267.,0.848.
1.407.,0.848.
-5.800.,0.848.
3.756.,0.848.
1.616.,0.848.
-3.685.,0.848.
2.841.,0.848.
-6.830.,0.848.
-3.528.,0.848.
-5.356.,0.848.
-6.447.,0.848.
0.891.,0.848.
-8.042.,0.848.
1.887.,0.848.
-7.093.,0.848.
-4.372.,0.848.
8.202.,0.848.
-7.892.,0.848.
-1.565.,0.848.
-6.516.,0.848.
4.485.,0.848.
6.164.,0.848.
9.261.,0.926.
8.599.,0.926.
9.769.,0.977.
-7.257.,0.977.
-5.255.,0.977.
3.936.,0.977.
5.063.,0.977.
-5.049.,0.977.
8.356.,0.977.
6.554.,0.977.
5.514.,0.977.
3.777.,0.977.
3.895.,0.977.
4.055.,0.977.
-3.707.,0.977.
1.959.,0.977.
-2.741.,0.977.
-7.445.,0.977.
-7.199.,0.977.
3.477.,0.977.
5.304.,0.977.
4.384.,0.977.
-6.851.,0.977.
-4.651.,0.977.
-8.856.,0.977.
4.049.,0.977.
-2.695.,0.977.
-1.099.,0.977.
-7.171.,0.977.
-1.936.,0.977.
0.781.,0.977.
-5.733.,0.977.
-5.768.,0.977.
-9.201.,0.977.
-9.008.,0.977.
-8.482.,0.977.
1.963.,0.977.
-4.856.,0.977.
9.726.,0.977.
7.453.,0.977.
-2.783.,0.977.
3.875.,0.977.
-6.558.,0.977.
-9.086.,0.977.
-8.025.,0.977.
-3.673.,0.977.
9.814.,0.981.
-9.673.,0.981.
0.006.,0.981.
5.317.,0.981.
5.852.,0.981.
-8.158.,0.981.
-2.171.,0.981.
1.156.,0.981.
-4.271.,0.981.
7.748.,0.981.
0.189.,0.981.
0.053.,0.981.
-0.358.,0.981.
6.161.,0.981.
6.551.,0.981.
7.552.,0.981.
5.331.,0.981.
-6.040.,0.981.
-6.793.,0.981.
-1.774.,0.981.
-8.556.,0.981.
-5.687.,0.981.
-9.372.,0.981.
6.183.,0.981.
-7.641.,0.981.
0.548.,0.981.
6.318.,0.981.
-7.295.,0.981.
2.688.,0.981.
4.122.,0.981.
-4.019.,0.981.
-0.989.,0.981.
-2.070.,0.981.
-7.030.,0.981.
-4.566.,0.981.
9.031.,0.981.
2.332.,0.981.
9.990.,0.999.
1.066.,0.999.
-0.936.,0.999.
0.811.,0.999.
-2.257.,0.999.
1.140.,0.999.
9.667.,0.999.
-4.788.,0.999.
1.597.,0.999.
9.670.,0.999.
-0.130.,0.999.
-3.960.,0.999.
0.502.,0.999.
-2.854.,0.999.
-0.462.,0.999.
5.801.,0.999.
4.743.,0.999.
-8.291.,0.999.
4.141.,0.999.
-5.567.,0.999.
-8.661.,0.999.
-3.945.,0.999.
-6.986.,0.999.
5.628.,0.999.
-3.943.,0.999.
-5.679.,0.999.
7.384.,0.999.
-1.893.,0.999.
-1.887.,0.999.
-1.127.,0.999.
1.058.,0.999.
6.589.,0.999.
-5.187.,0.999.
1.512.,0.999.
0.293.,0.999.
-8.023.,0.999.
-2.050.,0.999.
-9.116.,0.999.
-2.744.,0.999.
4.946.,0.999.
7.186.,0.999.
8.050.,0.999.
-8.060.,0.999.
-8.392.,0.999.
5.988.,0.999.
-9.805.,0.999.
-0.486.,0.999.
8.699.,0.999.
-0.778.,0.999.
-6.654.,0.999.
-4.040.,0.999.
-6.687.,0.999.
-1.898.,0.999.
-1.759.,0.999.
-8.252.,0.999.
7.732.,0.999.
4.366.,0.999.
7.169.,0.999.
-3.205.,0.999.
5.375.,0.999.
-3.543.,0.999.
0.323.,0.999.
1.340.,0.999.
-5.435.,0.999.
-5.393.,0.999.
-5.266.,0.999.
-8.377.,0.999.
-2.060.,0.999.
-0.183.,0.999.
-3.221.,0.999.
-3.156.,0.999.
-1.840.,0.999.
-0.685.,0.999.
-9.100.,0.999.
4.391.,0.999.
6.145.,0.999.
3.426.,0.999.
-9.848.,0.999.
7.463.,0.999.
0.227.,0.999.
-4.002.,0.999.
4.534.,0.999.
-0.743.,0.999.
-3.254.,0.999.
-2.541.,0.999.
-1.003.,0.999.
-5.222.,0.999.
0.166.,0.999.
8.219.,0.999.
-2.043.,0.999.
9.490.,0.999.
4.271.,0.999.
6.372.,0.999.
-0.270.,0.999.
2.702.,0.999.
-7.307.,0.999.
5.598.,0.999.
1.049.,0.999.
-8.406.,0.999.
5.025.,0.999.
4.740.,0.999.
0.417.,0.999.
9.002.,0.999.
7.439.,0.999.
-8.605.,0.999.
8.855.,0.999.
-9.320.,0.999.
7.904.,0.999.
0.125.,0.999.
6.554.,0.999.
2.067.,0.999.
5.785.,0.999.
-5.097.,0.999.
6.090.,0.999.
-3.157.,0.999.
8.874.,0.999.
-8.508.,0.999.
8.894.,0.999.
4.047.,0.999.
6.574.,0.999.
1.676.,0.999.
-6.523.,0.999.
-2.503.,0.999.
4.897.,0.999.
-6.510.,0.999.
8.679.,0.999.
5.414.,0.999.
9.351.,0.999.
-1.942.,0.999.
3.089.,0.999.
6.461.,0.999.
3.902.,0.999.
-6.581.,0.999.
-5.949.,0.999.
-5.597.,0.999.
6.301.,0.999.
-3.221.,0.999.
3.872.,0.999.
0.064.,0.999.
-2.499.,0.999.
8.447.,0.999.
-2.078.,0.999.
-1.875.,0.999.
7.259.,0.999.
-6.038.,0.999.
6.109.,0.999.
-6.885.,0.999.
0.391.,0.999.
-4.935.,0.999.
-3.548.,0.999.
8.268.,0.999.
9.920.,0.999.
-8.269.,0.999.
-3.584.,0.999.
-9.526.,0.999.
-6.375.,0.999.
2.628.,0.999.
6.503.,0.999.
-8.538.,0.999.
0.219.,0.999.
5.269.,0.999.
-0.901.,0.999.
0.466.,0.999.
7.560.,0.999.
-2.291.,0.999.
-9.232.,0.999.
-4.160.,0.999.
0.180.,0.999.
-7.189.,0.999.
-9.785.,0.999.
-8.809.,0.999.
3.732.,0.999.
-1.829.,0.999.
4.939.,0.999.
-1.720.,0.999.
8.746.,0.999.
6.884.,0.999.
3.943.,0.999.
3.892.,0.999.
-7.007.,0.999.
5.658.,0.999.
-7.878.,0.999.
-0.763.,0.999.
0.519.,0.999.
8.953.,0.999.
