# x,p
-2.491.,-2.491.
-7.343.,-0.734.
6.115.,0.611.
-8.044.,0.611.
-1.015.,0.611.
-5.004.,0.611.
0.035.,0.611.
-8.522.,0.611.
-6.661.,0.611.
-2.155.,0.611.
-6.285.,0.611.
6.500.,0.650.
9.691.,0.969.
3.970.,0.969.
1.577.,0.969.
-8.038.,0.969.
4.438.,0.969.
-1.769.,0.969.
7.903.,0.969.
-9.504.,0.969.
-5.461.,0.969.
2.098.,0.969.
7.328.,0.969.
0.969.,0.969.
-1.071.,0.969.
-1.375.,0.969.
-7.862.,0.969.
-9.605.,0.969.
-9.924.,0.969.
0.492.,0.969.
0.999.,0.969.
6.690.,0.969.
8.823.,0.969.
3.315.,0.969.
-8.237.,0.969.
2.971.,0.969.
-3.036.,0.969.
5.946.,0.969.
3.889.,0.969.
-8.186.,0.969.
-6.316.,0.969.
7.678.,0.969.
9.864.,0.986.
-8.230.,0.986.
1.056.,0.986.
6.949.,0.986.
-2.064.,0.986.
9.156.,0.986.
-2.350.,0.986.
2.205.,0.986.
9.063.,0.986.
0.928.,0.986.
-2.782.,0.986.
9.884.,0.988.
1.525.,0.988.
9.150.,0.988.
1.990.,0.988.
-9.699.,0.988.
-3.923.,0.988.
-2.661.,0.988.
-0.030.,0.988.
-5.613.,0.988.
-5.210.,0.988.
3.912.,0.988.
-2.006.,0.988.
-2.552.,0.988.
9.588.,0.988.
4.015.,0.988.
9.915.,0.991.
5.283.,0.991.
3.388.,0.991.
-9.296.,0.991.
-4.710.,0.991.
-9.981.,0.991.
2.969.,0.991.
9.327.,0.991.
-0.190.,0.991.
0.569.,0.991.
8.528.,0.991.
-4.702.,0.991.
7.570.,0.991.
-6.291.,0.991.
3.214.,0.991.
2.337.,0.991.
4.051.,0.991.
7.662.,0.991.
6.559.,0.991.
2.523.,0.991.
-4.235.,0.991.
1.134.,0.991.
0.086.,0.991.
-8.140.,0.991.
9.950.,0.995.
9.513.,0.995.
8.305.,0.995.
-7.684.,0.995.
7.317.,0.995.
8.777.,0.995.
-7.800.,0.995.
1.894.,0.995.
-8.178.,0.995.
7.960.,0.995.
9.116.,0.995.
-4.766.,0.995.
3.668.,0.995.
1.684.,0.995.
-6.382.,0.995.
-3.953.,0.995.
-8.893.,0.995.
-7.730.,0.995.
8.172.,0.995.
-8.129.,0.995.
3.011.,0.995.
1.825.,0.995.
-5.347.,0.995.
-9.966.,0.995.
9.426.,0.995.
-3.107.,0.995.
-6.126.,0.995.
3.184.,0.995.
9.105.,0.995.
4.076.,0.995.
5.298.,0.995.
-6.169.,0.995.
-9.170.,0.995.
7.864.,0.995.
5.766.,0.995.
3.841.,0.995.
-9.479.,0.995.
2.361.,0.995.
-4.608.,0.995.
5.102.,0.995.
-1.075.,0.995.
5.421.,0.995.
8.282.,0.995.
0.549.,0.995.
6.026.,0.995.
8.598.,0.995.
7.176.,0.995.
4.457.,0.995.
-5.745.,0.995.
5.485.,0.995.
2.211.,0.995.
-0.583.,0.995.
-0.881.,0.995.
-5.946.,0.995.
4.743.,0.995.
-6.520.,0.995.
2.509.,0.995.
2.688.,0.995.
-7.240.,0.995.
-5.956.,0.995.
8.515.,0.995.
-4.073.,0.995.
-0.353.,0.995.
-4.987.,0.995.
7.296.,0.995.
-2.483.,0.995.
5.408.,0.995.
-3.892.,0.995.
7.692.,0.995.
8.908.,0.995.
-5.451.,0.995.
-7.539.,0.995.
-9.165.,0.995.
-9.385.,0.995.
2.528.,0.995.
-9.066.,0.995.
-9.373.,0.995.
-0.355.,0.995.
4.944.,0.995.
-4.863.,0.995.
-1.479.,0.995.
2.003.,0.995.
-2.679.,0.995.
-3.499.,0.995.
9.573.,0.995.
-5.202.,0.995.
-1.128.,0.995.
-5.622.,0.995.
-2.887.,0.995.
-9.886.,0.995.
-9.358.,0.995.
6.583.,0.995.
6.228.,0.995.
