# x,p
-1.892.,-1.892.
-2.439.,-1.892.
-4.910.,-4.320.
5.117.,10.233.
-5.277.,-5.054.
-5.059.,-5.054.
0.663.,1.327.
8.997.,17.994.
-8.291.,-11.082.
1.095.,2.189.
-3.379.,-1.258.
-5.035.,-4.569.
9.952.,19.905.
-2.022.,1.456.
0.212.,1.456.
-1.971.,1.456.
-0.165.,1.456.
4.359.,8.719.
-3.233.,-0.966.
-1.349.,-0.966.
5.995.,11.990.
0.144.,5.789.
6.213.,12.427.
0.214.,5.927.
3.054.,6.108.
0.576.,6.108.
1.382.,6.108.
-4.661.,-3.822.
-3.248.,-3.822.
9.767.,19.534.
-5.495.,-5.490.
9.239.,18.478.
9.295.,18.591.
-9.332.,-13.165.
6.661.,13.322.
7.853.,15.707.
-4.074.,-2.648.
9.095.,18.191.
8.526.,18.191.
0.466.,6.431.
7.201.,14.403.
-4.353.,-3.206.
2.225.,4.449.
-0.320.,4.449.
-2.650.,0.201.
-1.858.,0.201.
-0.957.,0.201.
9.611.,19.222.
-2.783.,-0.065.
-3.461.,-1.423.
-9.998.,-14.496.
-8.260.,-14.496.
3.996.,7.993.
1.845.,7.993.
4.275.,8.550.
-6.135.,-6.770.
-6.855.,-8.210.
7.784.,15.567.
7.292.,15.567.
1.162.,7.824.
-5.238.,-4.975.
2.919.,5.838.
7.713.,15.426.
-2.496.,0.508.
-5.769.,-6.037.
5.664.,11.328.
-8.105.,-10.711.
6.384.,12.768.
-6.443.,-7.385.
-3.820.,-7.385.
5.166.,10.333.
2.891.,10.333.
-4.845.,-4.189.
7.150.,14.300.
-4.098.,-2.695.
-1.437.,-2.695.
4.697.,9.393.
3.310.,9.393.
9.448.,18.895.
-5.834.,-6.169.
5.495.,10.990.
-0.517.,4.466.
-1.031.,3.438.
-9.927.,-14.353.
9.485.,18.969.
-2.970.,-0.439.
2.853.,5.706.
-7.964.,-10.429.
-9.509.,-13.519.
5.659.,11.317.
-1.449.,2.601.
-4.224.,-2.948.
9.517.,19.035.
-6.320.,-7.141.
-4.133.,-7.141.
-4.843.,-7.141.
5.370.,10.739.
-6.763.,-8.025.
-6.216.,-8.025.
2.834.,5.667.
4.915.,9.831.
5.167.,10.334.
-5.760.,-6.019.
1.047.,2.094.
-3.557.,-1.614.
-7.376.,-9.251.
4.139.,8.277.
7.910.,15.819.
-7.508.,-9.516.
-5.159.,-9.516.
1.330.,2.660.
-2.898.,-0.297.
1.571.,3.141.
-7.578.,-9.655.
-9.666.,-13.832.
-8.029.,-13.832.
-6.215.,-12.429.
9.964.,19.928.
8.979.,19.928.
-8.122.,-10.744.
1.801.,3.602.
4.793.,9.586.
-3.385.,-1.271.
4.142.,8.285.
1.509.,8.285.
3.425.,8.285.
-6.315.,-7.130.
0.794.,1.588.
-3.051.,-0.602.
-5.025.,-4.550.
-2.118.,-4.236.
7.119.,14.238.
-3.623.,-1.747.
-4.827.,-4.153.
6.137.,12.274.
-2.833.,-0.165.
6.198.,12.396.
-5.002.,-4.504.
9.866.,19.732.
7.191.,19.732.
-1.322.,2.857.
3.632.,7.265.
-8.332.,-11.165.
-2.153.,-4.305.
-0.977.,-1.955.
3.322.,6.645.
-1.305.,2.890.
9.351.,18.702.
3.164.,11.828.
0.148.,5.795.
-8.445.,-11.390.
7.068.,14.136.
2.371.,10.242.
-5.540.,-5.581.
3.719.,7.438.
2.973.,7.438.
-6.445.,-7.389.
7.690.,15.380.
-6.229.,-6.958.
-9.270.,-13.040.
4.914.,9.828.
1.803.,9.106.
-8.572.,-11.644.
0.637.,1.273.
-6.580.,-7.660.
-5.960.,-7.660.
4.925.,9.851.
-2.530.,0.440.
-7.945.,-10.390.
6.236.,12.471.
0.899.,7.297.
-7.920.,-10.341.
-0.420.,-0.839.
-6.111.,-6.721.
-4.103.,-6.721.
-5.199.,-6.721.
9.135.,18.269.
9.459.,18.918.
-9.777.,-14.053.
-7.577.,-14.053.
8.733.,17.466.
-2.865.,-0.229.
6.067.,12.133.
-3.986.,-2.472.
9.661.,19.323.
4.138.,13.776.
3.230.,11.960.
-2.913.,-0.327.
-4.506.,-3.513.
-8.070.,-10.639.
7.831.,15.661.
4.588.,14.676.
-6.847.,-8.194.
-0.541.,-1.083.
-2.747.,-1.083.
-1.418.,-1.083.
-4.438.,-3.375.
-0.425.,-0.849.
2.088.,4.176.
3.749.,7.498.
-0.750.,3.999.
-0.231.,3.999.
6.440.,12.879.
1.812.,9.123.
-4.976.,-4.452.
-4.365.,-4.452.
3.109.,6.217.
2.308.,6.217.
-1.461.,2.577.
-8.090.,-10.681.
6.648.,13.296.
4.268.,13.296.
-1.880.,1.741.
-2.118.,1.264.
-6.986.,-8.473.
-5.511.,-8.473.
6.735.,13.470.
3.964.,13.428.
-9.621.,-13.741.
-3.931.,-7.862.
2.797.,5.595.
3.057.,6.114.
0.033.,5.567.
4.245.,8.491.
6.642.,13.284.
-5.338.,-5.176.
6.224.,12.449.
-5.570.,-5.641.
8.791.,17.582.
6.785.,17.582.
7.711.,17.582.
7.187.,17.582.
-3.313.,-1.125.
-5.093.,-4.685.
-0.966.,-1.931.
-1.129.,-1.931.
0.274.,0.549.
0.590.,1.179.
-4.209.,-2.919.
4.281.,8.561.
3.904.,8.561.
7.308.,14.617.
-2.467.,0.566.
8.456.,16.912.
-1.234.,3.031.
4.842.,9.684.
-6.424.,-7.348.
2.004.,4.008.
2.536.,5.071.
3.760.,7.520.
9.120.,18.240.
-2.383.,0.733.
-0.455.,0.733.
0.577.,1.154.
3.027.,6.055.
0.939.,6.055.
7.764.,15.529.
-7.841.,-10.182.
3.075.,6.151.
-6.440.,-7.380.
0.766.,1.533.
0.493.,1.533.
-8.766.,-12.033.
-3.298.,-6.596.
4.156.,8.312.
-8.750.,-12.001.
-9.583.,-13.666.
3.916.,7.832.
4.775.,9.550.
6.626.,13.252.
-1.716.,2.067.
9.417.,18.834.
4.343.,14.187.
9.992.,19.984.
6.566.,18.631.
2.848.,11.196.
2.010.,9.520.
8.563.,17.126.
1.746.,8.993.
7.198.,14.397.
-6.307.,-7.114.
9.105.,18.210.
-8.826.,-12.152.
7.862.,15.724.
9.321.,18.642.
0.150.,5.800.
-1.564.,2.371.
-1.862.,1.776.
-4.419.,-3.338.
-6.802.,-8.105.
-7.487.,-9.474.
2.154.,4.309.
1.806.,4.309.
4.805.,9.610.
-8.673.,-11.846.
-1.742.,-3.484.
-6.670.,-7.841.
-5.626.,-7.841.
3.096.,6.192.
3.507.,7.014.
8.500.,17.001.
-5.757.,-6.013.
6.231.,12.463.
-4.000.,-2.501.
-4.112.,-2.723.
0.924.,1.848.
-2.676.,0.148.
0.878.,1.755.
6.602.,13.204.
-1.981.,1.538.
4.037.,8.073.
4.865.,9.729.
-2.916.,-0.332.
3.919.,7.838.
4.028.,8.056.
-0.204.,5.092.
0.535.,5.092.
-5.976.,-6.453.
2.473.,4.946.
6.899.,13.798.
4.588.,13.798.
-4.040.,-2.581.
-4.675.,-3.849.
-3.787.,-3.849.
4.665.,9.330.
2.297.,9.330.
-4.195.,-2.891.
-8.811.,-12.123.
-7.487.,-12.123.
-7.843.,-12.123.
3.342.,6.685.
-1.482.,2.536.
8.606.,17.211.
-7.842.,-10.184.
2.318.,4.636.
5.885.,11.771.
4.852.,11.771.
-8.074.,-10.647.
0.398.,0.796.
-2.431.,0.638.
9.704.,19.407.
